,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
469,2008-07-27,298-01312,KIWI BLACK POLISH 40ML,HOUSEHOLD ESSENTIALS,SHOE CARE,SHOE POLISH,KIWI,1.0,85.0,85,CD-713788,Male,18 -28,Sunday
470,2008-07-27,298-01200,AMARA FOR MEN LTN 200ML,BEAUTY,BODY CARE,SKIN LOTIONS,AMARA,1.0,90.0,90,CD-215083,Female,18 -28,Sunday
471,2008-07-27,298-01263,OREO ORIGINAL BISCUIT 57GM,SNACKS,BISCUITS,COOKIES,OREO,2.0,100.0,50,CD-336228,Female,40 -50,Sunday
472,2008-07-27,298-01270,GEISHA PINK& HONEY 125G,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,GEISHA,1.0,50.0,50,CD-284726,Female,62 -72,Sunday
473,2008-07-27,298-01352,TEEPEE SCRUBBING BRUSH A3 P/HA,HOMECARE ACCESSORIES,CLEANING,CLEANING AIDS,TEEPEE,1.0,130.0,130,CD-822794,Male,29 -39,Sunday
474,2008-07-27,298-01348,FRESH FRI COOKING OIL 3LTR,FATS & OILS,VEGETABLE OIL,VEGETABLE OIL-1,FRESH,1.0,599.0,599,CD-696500,Male,18 -28,Sunday
475,2008-07-21,298-00091,SOFTCARE BABY WIPES 80PCS,BABY PRODUCTS,BABY HYGIENE,BABY WIPES,SOFTCARE,1.0,99.0,99,CD-936825,Male,29 -39,Monday
476,2008-07-25,298-00921,GEISHA WHITE V/PACK 3*200G,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,GEISHA,2.0,372.0,186,CD-233613,Male,29 -39,Friday
477,2008-07-27,298-01180,KRACKLES TINGLY C/ONION 30GM,SNACKS,CRISPS,FOIL PACK CRISPS,KRACKLES,1.0,47.0,47,CD-360030,Female,18 -28,Sunday
478,2008-07-25,298-00962,TENA WHITE T/PAPER 4PACK,PAPER + PLASTICS,TISSUE PAPERS,VIRGIN,TENA,2.0,198.0,99,CD-667555,Female,29 -39,Friday
479,2008-07-27,298-01269,HARIBO STARMIX 80G,CONFECTIONERY,CHEWY AND HARD,FRUITY,HARIBO,1.0,130.0,130,CD-207673,Female,40 -50,Sunday
480,2008-07-25,298-00903,HOM SWISS CHOCO WAFER 30GM,SNACKS,BISCUITS,CREAM BISCUITS,HOM,1.0,40.0,40,CD-181845,Female,40 -50,Friday
481,2008-07-27,298-01263,SANTA MARIA PEPPERMINT ESSENCE 40ML,FOOD ADDITIVES,BAKING NEEDS,FOOD COLOUR + FLAVOURS,SANTA,1.0,89.0,89,CD-336228,Female,40 -50,Sunday
482,2008-07-27,298-01312,KARTASI EX. BOOK 1/2 48P S/L,STATIONERY,SCHOOL STATIONERY,"GRAPH,EXERCISE + COUNTER BOOKS",KARTASI,3.0,51.0,17,CD-713788,Male,18 -28,Sunday
483,2008-07-27,298-01357,IMP.LEATHER E/CARE/JAPANESE SPA SOAP 125G B3G1,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,IMP.LEATHER,1.0,199.0,260,CD-814593,Male,18 -28,Sunday
484,2008-07-21,298-00104,SOKO HOME BAKING 2KG,FLOUR,WHEAT FLOUR,WHITE WHEAT FLOUR,SOKO,5.0,660.0,132,CD-343213,Female,29 -39,Monday
485,2008-07-26,298-01064,MAMMOTH POP JAWBREAKER 60G,CONFECTIONERY,CHEWY AND HARD,LOLLIPOPS,MAMMOTH,1.0,86.0,86,CD-284116,Male,18 -28,Saturday
486,2008-07-26,298-01092,SUNSET HOT CHILLI 50GMS,FOOD ADDITIVES,SPICES,PACKET SPICES,SUNSET,1.0,55.0,55,CD-740394,Female,18 -28,Saturday
487,2008-07-26,298-01064,VIMTO SPARKLING SODA 300ML,COLD BEVERAGE,SODA,REGULAR,VIMTO,2.0,66.0,33,CD-284116,Male,18 -28,Saturday
488,2008-07-27,298-01232,O/POINT PENCIL COLOR H/ SIZE #,STATIONERY,SCHOOL STATIONERY,ART + CRAFT,O/POINT,1.0,92.0,92,CD-694608,Female,40 -50,Sunday
489,2008-07-27,298-01270,KENSALT 1KG,FOOD ADDITIVES,SEASONINGS,SALT,KENSALT,1.0,30.0,30,CD-284726,Female,62 -72,Sunday
490,2008-07-26,298-01059,BIC CRISTAL RED BALL PEN,STATIONERY,SCHOOL STATIONERY,PENS + INKS,BIC,1.0,16.0,16,CD-989663,Female,29 -39,Saturday
491,2008-07-21,298-00105,DAAWAT B/LABLE SPAGHETTI 3*400G,PASTA + NOODLES,PASTA,LONG PASTA,DAAWAT,1.0,199.0,199,CD-431135,Male,73 -83,Monday
492,2008-07-27,298-01116,BELLA JUMBO ROLL 1PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,1.0,99.0,99,CD-572084,Male,40 -50,Sunday
493,2008-07-27,298-01317,FIELD OF AFRICA H/WASH ALOE VERA 500ML,PERSONAL CARE,PERSONAL WASH,HANDWASH,FIELD,1.0,175.0,204,CD-667740,Female,40 -50,Sunday
494,2008-07-25,298-01006,TES PAPER SERVIETTES 100S,PAPER + PLASTICS,PAPER TOWELS + NAPKINS,SERVIETTES,TES,1.0,78.0,78,CD-109777,Male,29 -39,Friday
